id,title,price_gbp,rating,availability,created_at
85,Patience,10.16,3,In stock,2026-08-28 10:25:38
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,2026-08-28 10:25:38
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,2026-08-28 10:25:38
88,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,2026-08-28 10:25:38
89,On a Midnight Clear,14.07,3,In stock,2026-08-28 10:25:38
90,Obsidian (Lux #1),14.86,2,In stock,2026-08-28 10:25:38
91,My Paris Kitchen: Recipes and Stories,33.37,2,In stock,2026-08-28 10:25:38
92,Masks and Shadows,56.4,2,In stock,2026-08-28 10:25:38
93,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,2026-08-28 10:25:38
94,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,2026-08-28 10:25:38
95,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,2026-08-28 10:25:38
96,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,2026-08-28 10:25:38
97,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,2026-08-28 10:25:38
98,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,2026-08-28 10:25:38
99,Join,35.67,5,In stock,2026-08-28 10:25:38
100,In the Country We Love: My Family Divided,22.0,4,In stock,2026-08-28 10:25:38
